x (mm),n:75 turns 2a:26mm B (mT) ,n:150 turns 2a:26mm B (mT),n:300 turns 2a:26mm B (mT),n:300 turns 2a:33mm B (mT),n:300 turns 2a:41mm  B (mT)
0,0.02,0.0,0.0,0.0,0.0
10,0.02,0.02,0.02,0.02,0.1
20,0.03,0.03,0.07,0.08,0.22
30,0.04,0.12,0.27,0.23,0.48
40,0.11,0.34,0.68,0.53,0.72
50,0.21,0.47,0.97,0.84,0.91
60,0.25,0.53,1.07,0.98,1.0
70,0.28,0.54,1.09,1.06,1.02
80,0.28,0.55,1.12,1.09,1.06
90,0.28,0.55,1.12,1.09,1.06
100,0.28,0.55,1.12,1.09,1.05
110,0.28,0.55,1.12,1.1,1.05
120,0.28,0.55,1.12,1.1,1.06
130,0.28,0.55,1.12,1.1,1.07
140,0.28,0.55,1.12,1.1,1.06
150,0.27,0.55,1.11,1.1,1.06
160,0.25,0.54,1.09,1.08,1.03
170,0.24,0.53,1.08,1.05,1.0
180,0.23,0.48,1.02,1.0,0.9
190,0.2,0.37,0.88,0.9,0.77
200,0.12,0.14,0.46,0.6,0.45
210,0.02,0.02,0.15,0.28,0.21
220,0.0,0.0,0.0,0.04,0.12
